,year_x,week_x,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,team,team_name,total,home,away,weekly_attendance
938,2003,11,Denver Broncos,San Diego Chargers,Denver Broncos,0,Sun,November 16,4:05PM,37,8,448,3,96,4,Broncos,Denver,Chargers,San Diego,Broncos200311,Broncos2003,200311Denver Broncos,Denver,Broncos,1134086.0,607167.0,526919.0,75217.0
939,2003,11,Indianapolis Colts,New York Jets,Indianapolis Colts,0,Sun,November 16,4:05PM,38,31,538,0,324,0,Colts,Indianapolis,Jets,New York,Colts200311,Colts2003,200311Indianapolis Colts,Indianapolis,Colts,993951.0,454138.0,539813.0,56801.0
940,2003,11,Oakland Raiders,Minnesota Vikings,Oakland Raiders,0,Sun,November 16,4:15PM,28,18,375,2,467,6,Raiders,Oakland,Vikings,Minnesota,Raiders200311,Raiders2003,200311Oakland Raiders,Oakland,Raiders,975793.0,440063.0,535730.0,56653.0
941,2003,11,Tampa Bay Buccaneers,Green Bay Packers,Green Bay Packers,0,Sun,November 16,4:15PM,20,13,282,1,285,3,Buccaneers,Tampa Bay,Packers,Green Bay,Buccaneers200311,Buccaneers2003,200311Tampa Bay Buccaneers,Tampa Bay,Buccaneers,1087333.0,524352.0,562981.0,65614.0
942,2003,11,Seattle Seahawks,Detroit Lions,Seattle Seahawks,0,Sun,November 16,4:16PM,35,14,366,0,357,2,Seahawks,Seattle,Lions,Detroit,Seahawks200311,Seahawks2003,200311Seattle Seahawks,Seattle,Seahawks,1005938.0,512150.0,493788.0,65865.0
943,2003,11,New England Patriots,Dallas Cowboys,New England Patriots,0,Sun,November 16,8:37PM,12,0,268,1,291,3,Patriots,New England,Cowboys,Dallas,Patriots200311,Patriots2003,200311New England Patriots,New England,Patriots,1127515.0,547488.0,580027.0,68436.0
944,2003,11,San Francisco 49ers,Pittsburgh Steelers,San Francisco 49ers,0,Mon,November 17,9:09PM,30,14,423,0,349,2,49ers,San Francisco,Steelers,Pittsburgh,49ers200311,49ers2003,200311San Francisco 49ers,San Francisco,49ers,1050337.0,540644.0,509693.0,67877.0
945,2003,12,Minnesota Vikings,Detroit Lions,Minnesota Vikings,0,Sun,November 23,1:00PM,24,14,307,2,241,4,Vikings,Minnesota,Lions,Detroit,Vikings200312,Vikings2003,200312Minnesota Vikings,Minnesota,Vikings,1017297.0,513437.0,503860.0,63946.0
946,2003,12,Philadelphia Eagles,New Orleans Saints,Philadelphia Eagles,0,Sun,November 23,1:02PM,33,20,448,0,466,3,Eagles,Philadelphia,Saints,New Orleans,Eagles200312,Eagles2003,200312Philadelphia Eagles,Philadelphia,Eagles,1124063.0,544349.0,579714.0,67802.0
947,2003,12,Houston Texans,New England Patriots,New England Patriots,0,Sun,November 23,1:02PM,23,20,472,3,169,2,Texans,Houston,Patriots,New England,Texans200312,Texans2003,200312Houston Texans,Houston,Texans,1061690.0,563748.0,497942.0,70719.0
